tpIdent,biomassTotal (mg/ha),forestType,forestType_group,ref_burn,crownBurnSeverity,mean_biomass_ref (mg/ha),biomassLoss (mg/ha)
R-001-01,58.62192020628308,Aspen,Aspen-Birch,burn,3,85.39704730330179,26.77512709701871
R-001-03,61.544441162525374,Balsam fir,Spruce-Fir,burn,3,64.29046238172457,2.746021219199193
R-001-04,46.98842335290052,Aspen,Aspen-Birch,burn,1,85.39704730330179,38.40862395040127
R-001-05,112.96874381976949,Red pine,White-Red-Jack Pine,burn,4,123.00157592131892,10.032832101549431
R-001-06,49.62254570040818,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,48.28559686468583
R-001-08,58.4502626162088,Balsam fir,Spruce-Fir,burn,4,64.29046238172457,5.840199765515763
R-001-09,43.55361603049492,Paper birch,Aspen-Birch,burn,4,77.30818869209546,33.754572661600534
R-001-11,41.820403247008706,Paper birch,Aspen-Birch,burn,4,77.30818869209546,35.48778544508675
R-001-12,19.576556622134927,Black spruce,Spruce-Fir,burn,1,84.2624947186815,64.68593809654656
RE-C3-01,119.60548742485874,Paper birch,Aspen-Birch,reference,NA,77.30818869209546,NA
RE-C3-02,101.64855946091997,Jack pine,White-Red-Jack Pine,reference,NA,97.90814256509401,NA
RE-H1-01,51.95361661454159,Aspen,Aspen-Birch,reference,NA,85.39704730330179,NA
RE-H2-01,63.934432250452716,Paper birch,Aspen-Birch,reference,NA,77.30818869209546,NA
RE218-06,35.92467375150227,Aspen,Aspen-Birch,reference,NA,85.39704730330179,NA
RE235-11,123.7795614102541,Red pine,White-Red-Jack Pine,reference,NA,123.00157592131892,NA
RE238-19,64.29046238172457,Balsam fir,Spruce-Fir,reference,NA,64.29046238172457,NA
RE262-18,136.55265761775897,Northern white-cedar,Spruce-Fir,reference,NA,142.16148412393122,NA
RE279-01,59.089453887519944,Black spruce,Spruce-Fir,reference,NA,84.2624947186815,NA
RE283-02,75.12009284406665,Red pine,White-Red-Jack Pine,reference,NA,123.00157592131892,NA
RE300-01,170.105073509636,Red pine,White-Red-Jack Pine,reference,NA,123.00157592131892,NA
RE301-01,98.2839458284614,White spruce,Spruce-Fir,reference,NA,81.51168906285577,NA
RE301-02,72.30884069743641,Jack pine,White-Red-Jack Pine,reference,NA,97.90814256509401,NA
RE302-02,217.50807221029626,Other pine / hardwood,Oak-Pine,reference,NA,217.50807221029626,NA
RE303-01,128.57153250387378,Aspen,Aspen-Birch,reference,NA,85.39704730330179,NA
RE303-02,58.52499447905471,Tamarack (larch),Spruce-Fir,reference,NA,58.52499447905471,NA
RE304-01,147.77031063010347,Northern white-cedar,Spruce-Fir,reference,NA,142.16148412393122,NA
RE304-02,63.1849776644219,Black spruce,Spruce-Fir,reference,NA,84.2624947186815,NA
RE304-03,64.73943229725013,White spruce,Spruce-Fir,reference,NA,81.51168906285577,NA
RE305-01,87.29908864960008,Eastern white pine,White-Red-Jack Pine,reference,NA,92.77056945183722,NA
RE305-02,98.24205025407434,Eastern white pine,White-Red-Jack Pine,reference,NA,92.77056945183722,NA
RE305-03,59.77487304801216,Jack pine,White-Red-Jack Pine,reference,NA,97.90814256509401,NA
RE305-04,157.90029705400752,Jack pine,White-Red-Jack Pine,reference,NA,97.90814256509401,NA
RE306-01,57.22136250104039,Red maple / upland,Maple-Beech-Birch,reference,NA,57.22136250104039,NA
RE306-02,59.99490906108893,Paper birch,Aspen-Birch,reference,NA,77.30818869209546,NA
RE306-03,125.13836634328952,Aspen,Aspen-Birch,reference,NA,85.39704730330179,NA
RE306-04,130.51305260410265,Black spruce,Spruce-Fir,reference,NA,84.2624947186815,NA
RE307-01,65.69792603198147,Paper birch,Aspen-Birch,reference,NA,77.30818869209546,NA
RE307-02,75.7182510269801,Black ash / American elm / red maple,Elm-Ash-Cottonwood,reference,NA,75.7182510269801,NA
T-000-01,27.045732681343054,Other pine / hardwood,Oak-Pine,burn,4,217.50807221029626,190.4623395289532
T-000-02,43.90394189028092,Aspen,Aspen-Birch,burn,4,85.39704730330179,41.49310541302087
T-000-03,45.19502876120386,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,52.71311380389015
T-000-04,71.37604236434161,Paper birch,Aspen-Birch,burn,3,77.30818869209546,5.932146327753841
T-000-05,33.52971002050165,Aspen,Aspen-Birch,burn,2,85.39704730330179,51.867337282800136
T-000-06,49.33772682589972,Aspen,Aspen-Birch,burn,3,85.39704730330179,36.05932047740207
T-000-07,9.645528046086659,Aspen,Aspen-Birch,burn,4,85.39704730330179,75.75151925721514
T-000-08,24.662115916880357,Paper birch,Aspen-Birch,burn,2,77.30818869209546,52.6460727752151
T-000-09,45.51636580585719,Aspen,Aspen-Birch,burn,3,85.39704730330179,39.8806814974446
T-001-01,64.66655237948753,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,33.24159018560648
T-001-03,120.03037092709366,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-22.122228361999646
T-001-04,65.39757053809906,Other pine / hardwood,Oak-Pine,burn,3,217.50807221029626,152.1105016721972
T-001-05,64.16768547468865,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,33.74045709040536
T-001-06,70.9510021225433,Aspen,Aspen-Birch,burn,4,85.39704730330179,14.446045180758489
T-001-07,31.79733302836273,Aspen,Aspen-Birch,burn,4,85.39704730330179,53.59971427493906
T-001-08,32.613289326959716,Aspen,Aspen-Birch,burn,4,85.39704730330179,52.78375797634207
T-003-01,70.97215421704263,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,26.93598834805138
T-006-01,88.8385800174899,Aspen,Aspen-Birch,burn,1,85.39704730330179,-3.4415327141881136
T-006-02,87.3563846848541,Aspen,Aspen-Birch,burn,2,85.39704730330179,-1.9593373815523165
T-006-03,50.08007881694162,Black spruce,Spruce-Fir,burn,1,84.2624947186815,34.18241590173987
T-006-04,71.34129091911349,Black spruce,Spruce-Fir,burn,3,84.2624947186815,12.921203799568005
T-006-05,57.16555223685608,Black spruce,Spruce-Fir,burn,1,84.2624947186815,27.096942481825415
T-006-06,41.026616045216294,Balsam fir,Spruce-Fir,burn,3,64.29046238172457,23.263846336508273
T-006-07,53.285493741292946,Black spruce,Spruce-Fir,burn,1,84.2624947186815,30.97700097738855
T-006-08,106.85699862327296,Aspen,Aspen-Birch,burn,1,85.39704730330179,-21.459951319971168
T-006-09,105.33583280844952,Jack pine,White-Red-Jack Pine,burn,2,97.90814256509401,-7.427690243355514
T-006-10,85.0886553054098,Jack pine,White-Red-Jack Pine,burn,1,97.90814256509401,12.819487259684209
T-006-13,86.80775309574473,Black spruce,Spruce-Fir,burn,4,84.2624947186815,-2.5452583770632344
T-006-14,88.35116132018443,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,9.55698124490958
T-006-15,91.779693139118,Black spruce,Spruce-Fir,burn,3,84.2624947186815,-7.5171984204365
T-006-16,36.28733391550215,Jack pine,White-Red-Jack Pine,burn,NA,97.90814256509401,61.62080864959186
T-007-01,111.42131214358594,Northern white-cedar,Spruce-Fir,burn,4,142.16148412393122,30.74017198034528
T-007-07,46.026256408016806,Black spruce,Spruce-Fir,burn,3,84.2624947186815,38.23623831066469
T-007-09,38.02662901576069,Aspen,Aspen-Birch,burn,3,85.39704730330179,47.3704182875411
T-007-10,66.87982566844508,Aspen,Aspen-Birch,burn,2,85.39704730330179,18.51722163485671
T-007-11,71.61118108203138,Aspen,Aspen-Birch,burn,2,85.39704730330179,13.78586622127041
T-007-12,61.77859892885837,Aspen,Aspen-Birch,burn,2,85.39704730330179,23.618448374443417
T-008-01,117.33508741991373,Other pine / hardwood,Oak-Pine,burn,4,217.50807221029626,100.17298479038253
T-008-02,51.728115489776656,Paper birch,Aspen-Birch,burn,4,77.30818869209546,25.5800732023188
T-008-10,92.92742072447935,Paper birch,Aspen-Birch,burn,4,77.30818869209546,-15.619232032383891
T-008-11,80.37809079806956,Aspen,Aspen-Birch,burn,4,85.39704730330179,5.018956505232225
T-008-12,86.95531404512732,Aspen,Aspen-Birch,burn,4,85.39704730330179,-1.558266741825534
T-008-13,126.45613365267613,Aspen,Aspen-Birch,burn,NA,85.39704730330179,-41.05908634937434
T-020-01,48.492618375159914,Paper birch,Aspen-Birch,burn,4,77.30818869209546,28.815570316935542
T-020-02,53.20382128103616,Eastern white pine,White-Red-Jack Pine,burn,2,92.77056945183722,39.566748170801056
T-040-01,114.85643267183347,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-16.948290106739464
T-040-02,96.14725366761547,Aspen,Aspen-Birch,burn,4,85.39704730330179,-10.750206364313684
T-040-03,93.66303814524083,Paper birch,Aspen-Birch,burn,4,77.30818869209546,-16.354849453145377
T-040-04,65.21399683939443,Black spruce,Spruce-Fir,burn,4,84.2624947186815,19.04849787928707
T-040-05,45.31671891620637,Black spruce,Spruce-Fir,burn,4,84.2624947186815,38.945775802475126
T-041-01,82.18652142960526,Jack pine,White-Red-Jack Pine,burn,2,97.90814256509401,15.721621135488746
T-041-03,84.97043973727362,Other pine / hardwood,Oak-Pine,burn,1,217.50807221029626,132.53763247302265
T-042-01,46.11176925140099,Paper birch,Aspen-Birch,burn,1,77.30818869209546,31.196419440694463
T-042-02,62.669867826858734,Aspen,Aspen-Birch,burn,1,85.39704730330179,22.727179476443055
T-042-03,90.37503774439003,Red maple / upland,Maple-Beech-Birch,burn,1,57.22136250104039,-33.15367524334964
T-042-04,81.849520040728,Eastern white pine,White-Red-Jack Pine,burn,1,92.77056945183722,10.921049411109223
T-042-05,65.4789810971165,Aspen,Aspen-Birch,burn,1,85.39704730330179,19.918066206185287
T-043-01,33.1236574210019,Aspen,Aspen-Birch,burn,4,85.39704730330179,52.27338988229989
T-043-02,20.430765745504214,Paper birch,Aspen-Birch,burn,4,77.30818869209546,56.87742294659124
T-043-03,62.91425988916419,Black spruce,Spruce-Fir,burn,4,84.2624947186815,21.348234829517303
T-043-04,66.52918375914784,Black spruce,Spruce-Fir,burn,4,84.2624947186815,17.733310959533654
T-043-05,51.50905448381897,Black spruce,Spruce-Fir,burn,4,84.2624947186815,32.753440234862524
T-043-06,49.19575667603597,Paper birch,Aspen-Birch,burn,3,77.30818869209546,28.112432016059486
T-043-07,41.4384601183842,Northern white-cedar,Spruce-Fir,burn,4,142.16148412393122,100.72302400554702
T-044-01,71.92460248931346,Black spruce,Spruce-Fir,burn,4,84.2624947186815,12.337892229368038
T-044-02,33.129924035285406,Black spruce,Spruce-Fir,burn,4,84.2624947186815,51.13257068339609
T-050-01,16.667830471553003,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,81.24031209354101
T-051-02,125.85616599158428,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-27.948023426490266
T-053-01,74.04536830278863,Paper birch,Aspen-Birch,burn,4,77.30818869209546,3.2628203893068246
T-053-02,71.66784258966285,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,26.240299975431157
T-053-04,70.98688647542069,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,26.92125608967332
T-053-05,45.25437783712537,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,52.65376472796864
T-053-06,54.64382553395596,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,43.26431703113805
T-053-07,84.5162831646123,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,13.391859400481707
T-100-04,94.59729543734319,Jack pine,White-Red-Jack Pine,burn,1,97.90814256509401,3.3108471277508187
T-100-90,108.28566639058687,Jack pine,White-Red-Jack Pine,burn,1,97.90814256509401,-10.377523825492858
T-101-01,49.79438768272155,Paper birch,Aspen-Birch,burn,3,77.30818869209546,27.513801009373907
T-101-02,14.69013596203966,Balsam fir,Spruce-Fir,burn,4,64.29046238172457,49.600326419684905
T-101-03,61.55833661000462,Black spruce,Spruce-Fir,burn,3,84.2624947186815,22.70415810867687
T-101-04,65.43831712917647,Balsam fir,Spruce-Fir,burn,4,64.29046238172457,-1.1478547474519019
T-101-05,125.43804199685994,Northern white-cedar,Spruce-Fir,burn,3,142.16148412393122,16.72344212707128
T-101-09,71.81593822986429,Paper birch,Aspen-Birch,burn,3,77.30818869209546,5.492250462231169
T-102-03,78.453165627924065,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,19.454976937169945
T-102-04,103.82583845521387,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-5.917695890119859
T-102-05,135.48240794848343,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-37.57426538338942
T-102-06,173.2063296911659,Jack pine,White-Red-Jack Pine,burn,4,97.90814256509401,-75.2981871260719
T-104-02,43.65265703836301,Paper birch,Aspen-Birch,burn,4,77.30818869209546,33.655531653732446
T-104-04,38.531130768678416,Black spruce,Spruce-Fir,burn,4,84.2624947186815,45.73136395000308
T-110-01,63.26678176662823,Paper birch,Aspen-Birch,burn,4,77.30818869209546,14.041406925467228
T-110-02,45.03363487106269,Paper birch,Aspen-Birch,burn,4,77.30818869209546,32.27455382103277
T-111-02,156.846739596492,Aspen,Aspen-Birch,burn,3,85.39704730330179,-71.44969229319021
T-111-03,122.54231719135322,Eastern white pine,White-Red-Jack Pine,burn,3,92.77056945183722,-29.771747739516
T-111-04,23.16924406559884,Balsam fir,Spruce-Fir,burn,3,64.29046238172457,41.12121831612573
T-112-01,85.05537555793575,Other pine / hardwood,Oak-Pine,burn,3,217.50807221029626,132.45269665236052
T-112-02,93.42411682205926,Jack pine,White-Red-Jack Pine,burn,3,97.90814256509401,4.484025743034749
TB006-12,108.60786951579378,Jack pine,White-Red-Jack Pine,burn,3,97.90814256509401,-10.69972695069977
